danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,song_emotion
0.7,0.526,-6.246,0.0355,0.0981,0.471,0.102,0.774,92.015,0
0.802,0.763,-6.456,0.0336,0.22,0.000396,0.128,0.789,120.078,0
0.953,0.584,-7.57,0.0518,0.543,0,0.0786,0.861,104.007,0
0.792,0.63,-6.741,0.0682,0.102,0,0.0758,0.659,100.022,0
0.791,0.558,-7.155,0.0661,0.276,0,0.0859,0.872,95.077,0
0.843,0.892,-4.371,0.0527,0.0512,1.13E-06,0.101,0.655,125.991,0
0.714,0.892,-5.342,0.0516,0.00145,0.000817,0.0462,0.899,134.997,0
0.647,0.792,-9.815,0.0373,0.00536,5.82E-05,0.054,0.306,132.032,0
0.568,0.921,-4.558,0.0771,0.277,3.59E-06,0.151,0.647,131.903,0
0.679,0.688,-5.522,0.0293,0.0773,0,0.704,0.424,127.951,0
0.827,0.737,-5.473,0.0764,0.0316,0.000322,0.211,0.873,121.99,0
0.847,0.938,-4.615,0.0974,0.149,0,0.107,0.786,130.02,0
0.688,0.941,-5.23,0.0583,0.0811,2.89E-06,0.0697,0.909,138.047,0
0.536,0.903,-5.501,0.307,0.154,4.50E-05,0.064,0.656,129.965,0
0.835,0.718,-6.614,0.0816,0.363,0.000919,0.0625,0.64,139.968,0
0.727,0.9,-4.529,0.0452,0.0805,0.0464,0.154,0.505,131.97,0
0.726,0.994,-2.433,0.0543,0.021,0.0108,0.222,0.779,129.989,0
0.95,0.694,-7.089,0.0516,0.0317,1.93E-06,0.137,0.961,119.972,0
0.905,0.863,-3.76,0.0413,0.376,1.44E-05,0.0916,0.807,95,0
0.733,0.963,-5.06,0.0665,0.0558,1.32E-05,0.0766,0.91,145.05,0
0.93,0.531,-6.122,0.0971,0.0141,0,0.0529,0.797,113.988,0
0.541,0.676,-3.893,0.153,0.442,0,0.159,0.845,90.037,0
0.838,0.713,-4.21,0.0877,0.464,6.64E-05,0.141,0.95,96.988,0
0.676,0.935,-3.499,0.0892,0.00917,0,0.097,0.802,144.944,0
0.767,0.869,-3.381,0.0908,0.14,0,0.221,0.751,98.208,0
0.716,0.807,-6.944,0.0753,0.0259,0,0.308,0.74,89.963,0
0.83,0.6,-7.826,0.0633,0.0039,0.000101,0.263,0.369,105.975,0
0.742,0.947,-3.749,0.0321,0.0906,0.0221,0.0721,0.88,130.043,0
0.721,0.65,-6.95,0.135,0.0115,0.00014,0.34,0.392,130.487,0
0.794,0.878,-7.502,0.078,0.00138,0.029,0.197,0.352,129.978,0
0.786,0.579,-14.913,0.142,0.186,0,0.118,0.481,90.012,0
0.816,0.922,-2.963,0.149,0.178,0,0.373,0.887,95.006,0
0.799,0.784,-5.207,0.0519,0.11,2.84E-06,0.227,0.26,96.953,0
0.701,0.681,-6.442,0.0466,0.134,0,0.064,0.81,122.539,0
0.669,0.877,-3.336,0.163,0.242,2.22E-05,0.0911,0.921,90.392,0
0.782,0.827,-4.219,0.0627,0.159,0,0.226,0.498,104.032,0
0.845,0.686,-6.728,0.0781,0.00131,5.35E-05,0.129,0.874,146.954,0
0.774,0.991,-6.151,0.0778,0.182,0.000403,0.0305,0.825,141.931,0
0.794,0.962,-9.801,0.0719,0.0659,7.89E-06,0.119,0.682,122.926,0
0.845,0.659,-6.348,0.0373,0.159,0.0129,0.0782,0.547,125.965,0
0.783,0.889,-2.691,0.0598,0.108,3.06E-05,0.333,0.851,111.983,0
0.687,0.911,-6.247,0.0588,0.0254,0,0.366,0.543,121.985,0
0.854,0.847,-4.616,0.0451,0.125,0.000124,0.0512,0.845,120.006,0
0.716,0.899,-5.29,0.0485,0.0751,0.00246,0.145,0.754,139.976,0
0.613,0.696,-9.486,0.0504,0.136,0.00222,0.053,0.874,122.056,0
0.758,0.877,-5.047,0.0806,0.138,1.92E-05,0.085,0.707,108.011,0
0.774,0.934,-6.422,0.0516,0.118,0.00284,0.0897,0.882,105.968,0
0.688,0.954,-3.076,0.145,0.209,0.00326,0.0387,0.766,140.186,0
0.746,0.946,-4.114,0.0589,0.045,0.000435,0.287,0.946,130.017,0
0.806,0.909,-5.295,0.0658,0.0267,0.000343,0.057,0.653,119.996,0
0.796,0.978,-1.266,0.0955,0.289,0.00254,0.346,0.8,129.999,0
0.818,0.762,-4.51,0.0473,0.0718,2.34E-06,0.0401,0.543,113.034,0
0.84,0.884,-3.217,0.334,0.427,0,0.0885,0.972,118.007,0
0.848,0.72,-6.746,0.0752,0.0678,0,0.128,0.831,128.017,0
0.861,0.75,-6.657,0.0797,0.034,3.65E-05,0.0381,0.832,116.984,0
0.721,0.867,-3.652,0.0903,0.12,0.00577,0.123,0.893,102.009,0
0.679,0.622,-8.514,0.0328,0.272,6.52E-05,0.106,0.483,98.028,0
0.76,0.555,-10.165,0.0465,0.409,0.213,0.0822,0.52,98.066,0
0.707,0.501,-7.389,0.0372,0.387,1.81E-06,0.095,0.542,93.978,0
0.615,0.744,-6.176,0.0267,0.0508,0.252,0.309,0.715,90.036,0
0.688,0.701,-7.505,0.0298,0.06,0.0301,0.271,0.385,110.019,0
0.675,0.669,-4.878,0.0359,0.412,0,0.21,0.618,90.027,0
0.703,0.786,-6.779,0.0483,0.198,0.000712,0.101,0.647,93.987,0
0.688,0.701,-7.505,0.0298,0.06,0.0301,0.271,0.385,110.019,0
0.678,0.547,-6.89,0.0286,0.232,0.000176,0.0785,0.579,143.892,0
0.799,0.588,-9.136,0.0302,0.184,2.68E-05,0.0788,0.789,115.087,0
0.909,0.906,-3.701,0.206,0.09,1.25E-05,0.287,0.625,121.996,0
0.803,0.791,-5.79,0.0889,0.195,0.00357,0.353,0.549,136.025,0
0.853,0.785,-6.08,0.0619,0.29,0,0.0589,0.786,106.046,0
0.724,0.848,-4.724,0.0522,0.0787,9.16E-05,0.104,0.781,123.02,0
0.746,0.779,-4.175,0.0429,0.189,0.00307,0.0923,0.767,117.891,0
0.73,0.656,-5.07,0.0294,0.00797,0.00271,0.108,0.743,131.04,0
0.914,0.585,-10.459,0.126,0.019,9.65E-05,0.0503,0.53,110.981,0
0.8,0.904,-5.101,0.0628,0.238,3.34E-06,0.107,0.714,95.04,0
0.696,0.95,-4.942,0.0963,0.0873,0.000345,0.0944,0.743,125.029,0
0.707,0.926,-4.858,0.129,0.128,0,0.347,0.713,120.02,0
0.702,0.897,-5.217,0.0329,0.11,4.81E-06,0.107,0.911,120.007,0
0.817,0.922,-6.999,0.0817,0.311,0.00388,0.0721,0.862,121.988,0
0.824,0.757,-5.047,0.0744,0.368,0.000108,0.146,0.97,100.029,0
0.337,0.963,-2.93,0.296,0.284,0,0.281,0.405,62.481,0
0.801,0.922,-6.562,0.114,0.0638,0.000627,0.349,0.788,110.042,0
0.749,0.734,-7.058,0.0594,0.00166,6.48E-06,0.108,0.652,131.975,0
0.794,0.771,-8.418,0.0921,0.224,1.18E-05,0.465,0.624,94.824,0
