name,popularity,date_added,release_year,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_emotion
Tumse Hi Tumse,56,2019-04-10 04:35:31+00:00,2010,"['Shekhar Ravjiani', 'Caralisa Monteiro']",0.7,0.526,0.0,-6.246,1.0,0.0355,0.0981,0.471,0.102,0.774,92.015,audio_features,6qNyL8lZuqFmy9ginJRQOZ,spotify:track:6qNyL8lZuqFmy9ginJRQOZ,https://api.spotify.com/v1/tracks/6qNyL8lZuqFmy9ginJRQOZ,https://api.spotify.com/v1/audio-analysis/6qNyL8lZuqFmy9ginJRQOZ,261559.0,4.0,happy
Slow Motion Angreza,58,2019-04-10 04:58:41+00:00,2013,"['Shankar-Ehsaan-Loy', 'Sukhwinder Singh', 'Loy Mendonsa', 'Shankar Mahadevan']",0.802,0.763,0.0,-6.456,1.0,0.0336,0.22,0.000396,0.128,0.789,120.078,audio_features,0JX7Es2j556FwtR6YqMKzP,spotify:track:0JX7Es2j556FwtR6YqMKzP,https://api.spotify.com/v1/tracks/0JX7Es2j556FwtR6YqMKzP,https://api.spotify.com/v1/audio-analysis/0JX7Es2j556FwtR6YqMKzP,260507.0,4.0,happy
Lamberghini,48,2019-04-10 05:00:25+00:00,2018,"['The Doorbeen', 'Ragini']",0.953,0.584,11.0,-7.57,1.0,0.0518,0.543,0.0,0.0786,0.861,104.007,audio_features,45P9g6kUb7itdonjjGjDdS,spotify:track:45P9g6kUb7itdonjjGjDdS,https://api.spotify.com/v1/tracks/45P9g6kUb7itdonjjGjDdS,https://api.spotify.com/v1/audio-analysis/45P9g6kUb7itdonjjGjDdS,216999.0,4.0,happy
Matargashti,67,2019-04-10 05:00:51+00:00,2015,['Mohit Chauhan'],0.792,0.63,0.0,-6.741,1.0,0.0682,0.102,0.0,0.0758,0.659,100.022,audio_features,5GeBgck1MU2tlIkMpsn8uT,spotify:track:5GeBgck1MU2tlIkMpsn8uT,https://api.spotify.com/v1/tracks/5GeBgck1MU2tlIkMpsn8uT,https://api.spotify.com/v1/audio-analysis/5GeBgck1MU2tlIkMpsn8uT,328052.0,4.0,happy
Kabhi Kabhi Aditi,72,2019-04-10 05:01:00+00:00,2008,['Rashid Ali'],0.791,0.558,7.0,-7.155,0.0,0.0661,0.276,0.0,0.0859,0.872,95.077,audio_features,3APdIdF8H0jsxSuGOqXedS,spotify:track:3APdIdF8H0jsxSuGOqXedS,https://api.spotify.com/v1/tracks/3APdIdF8H0jsxSuGOqXedS,https://api.spotify.com/v1/audio-analysis/3APdIdF8H0jsxSuGOqXedS,218836.0,4.0,happy
"Milegi Milegi (From ""Stree"")",55,2019-04-10 05:01:16+00:00,2018,"['Mika Singh', 'Sachin-Jigar']",0.843,0.892,2.0,-4.371,1.0,0.0527,0.0512,1.13e-06,0.101,0.655,125.991,audio_features,52uiJsA4FrtAZlgqxCJwJI,spotify:track:52uiJsA4FrtAZlgqxCJwJI,https://api.spotify.com/v1/tracks/52uiJsA4FrtAZlgqxCJwJI,https://api.spotify.com/v1/audio-analysis/52uiJsA4FrtAZlgqxCJwJI,153745.0,4.0,happy
"Tum Hi Ho Bandhu (From ""Cocktail"")",0,2019-04-10 05:02:14+00:00,2012,"['Neeraj Shridhar', 'Kavita Seth', 'Pritam']",0.714,0.892,11.0,-5.342,0.0,0.0516,0.00145,0.000817,0.0462,0.899,134.997,audio_features,2zZTXtLqCsICzEcztKjn47,spotify:track:2zZTXtLqCsICzEcztKjn47,https://api.spotify.com/v1/tracks/2zZTXtLqCsICzEcztKjn47,https://api.spotify.com/v1/audio-analysis/2zZTXtLqCsICzEcztKjn47,282012.0,4.0,happy
Uff Teri Adaa,67,2019-04-10 05:02:27+00:00,2010,"['Shankar Mahadevan', 'Alyssa Mendonsa']",0.647,0.792,2.0,-9.815,1.0,0.0373,0.00536,5.82e-05,0.054,0.306,132.032,audio_features,0og9wKFGgFFNQnrBe7eisG,spotify:track:0og9wKFGgFFNQnrBe7eisG,https://api.spotify.com/v1/tracks/0og9wKFGgFFNQnrBe7eisG,https://api.spotify.com/v1/audio-analysis/0og9wKFGgFFNQnrBe7eisG,304089.0,4.0,happy
Ilahi (Reprise),54,2019-04-10 05:02:40+00:00,2013,"['Pritam', 'Mohit Chauhan']",0.568,0.921,9.0,-4.558,1.0,0.0771,0.277,3.59e-06,0.151,0.647,131.903,audio_features,5wdkKS3kWXBU9bklLVsAFs,spotify:track:5wdkKS3kWXBU9bklLVsAFs,https://api.spotify.com/v1/tracks/5wdkKS3kWXBU9bklLVsAFs,https://api.spotify.com/v1/audio-analysis/5wdkKS3kWXBU9bklLVsAFs,214796.0,4.0,happy
"Tu Meri (From ""Bang Bang"")",0,2019-04-10 05:04:09+00:00,2014,"['Vishal-Shekhar', 'Vishal Dadlani']",0.679,0.688,8.0,-5.522,1.0,0.0293,0.0773,0.0,0.704,0.424,127.951,audio_features,29GEhH79MHH2wzB7FXRQ2R,spotify:track:29GEhH79MHH2wzB7FXRQ2R,https://api.spotify.com/v1/tracks/29GEhH79MHH2wzB7FXRQ2R,https://api.spotify.com/v1/audio-analysis/29GEhH79MHH2wzB7FXRQ2R,257089.0,4.0,happy
Kar Gayi Chull,64,2019-04-10 05:04:23+00:00,2017,"['Badshah', 'Amaal Mallik', 'Fazilpuria', 'Sukriti Kakar', 'Neha Kakkar']",0.827,0.737,11.0,-5.473,0.0,0.0764,0.0316,0.000322,0.211,0.873,121.99,audio_features,3fPgIknlkDWXs1l2noKZbp,spotify:track:3fPgIknlkDWXs1l2noKZbp,https://api.spotify.com/v1/tracks/3fPgIknlkDWXs1l2noKZbp,https://api.spotify.com/v1/audio-analysis/3fPgIknlkDWXs1l2noKZbp,187711.0,4.0,happy
Saturday Saturday,60,2019-04-10 05:05:05+00:00,2014,"['Shaarib Toshi', 'Badshah', 'Indeep Bakshi', 'Akriti Kakar']",0.847,0.938,8.0,-4.615,1.0,0.0974,0.149,0.0,0.107,0.786,130.02,audio_features,7MvQQGqYE4r0ucTarmI2Gr,spotify:track:7MvQQGqYE4r0ucTarmI2Gr,https://api.spotify.com/v1/tracks/7MvQQGqYE4r0ucTarmI2Gr,https://api.spotify.com/v1/audio-analysis/7MvQQGqYE4r0ucTarmI2Gr,210799.0,4.0,happy
Dilliwaali Girlfriend,46,2019-04-10 05:05:10+00:00,2017,"['Arijit Singh', 'Sunidhi Chauhan']",0.688,0.941,6.0,-5.23,0.0,0.0583,0.0811,2.89e-06,0.0697,0.909,138.047,audio_features,6p56DuuwZQYSNgeB7fgRkZ,spotify:track:6p56DuuwZQYSNgeB7fgRkZ,https://api.spotify.com/v1/tracks/6p56DuuwZQYSNgeB7fgRkZ,https://api.spotify.com/v1/audio-analysis/6p56DuuwZQYSNgeB7fgRkZ,260552.0,4.0,happy
"Aahun Aahun (From ""Love Aaj Kal"")",0,2019-04-10 05:07:13+00:00,2009,"['Master Saleem', 'Neeraj Shridhar', ""Suzanne D'Mello""]",0.536,0.903,1.0,-5.501,0.0,0.307,0.154,4.5e-05,0.064,0.656,129.965,audio_features,1WrrcqB5cmqxJIJMcYk6fj,spotify:track:1WrrcqB5cmqxJIJMcYk6fj,https://api.spotify.com/v1/tracks/1WrrcqB5cmqxJIJMcYk6fj,https://api.spotify.com/v1/audio-analysis/1WrrcqB5cmqxJIJMcYk6fj,290493.0,4.0,happy
"London Thumakda (From ""Queen"")",58,2019-04-10 05:07:31+00:00,2017,"['Labh Janjua', 'Sonu Kakkar', 'Neha Kakkar']",0.835,0.718,0.0,-6.614,1.0,0.0816,0.363,0.000919,0.0625,0.64,139.968,audio_features,1VY2incfH4TLT9PCbot6lj,spotify:track:1VY2incfH4TLT9PCbot6lj,https://api.spotify.com/v1/tracks/1VY2incfH4TLT9PCbot6lj,https://api.spotify.com/v1/audio-analysis/1VY2incfH4TLT9PCbot6lj,230468.0,4.0,happy
Subha Hone Na De,66,2019-04-10 05:07:42+00:00,2011,"['Pritam', 'Mika Singh', 'Shefali Alvares']",0.727,0.9,8.0,-4.529,1.0,0.0452,0.0805,0.0464,0.154,0.505,131.97,audio_features,6WediUhXDfm8FR3wlM0r3G,spotify:track:6WediUhXDfm8FR3wlM0r3G,https://api.spotify.com/v1/tracks/6WediUhXDfm8FR3wlM0r3G,https://api.spotify.com/v1/audio-analysis/6WediUhXDfm8FR3wlM0r3G,288696.0,4.0,happy
Sadi Gali,62,2019-04-10 05:07:45+00:00,2011,['Lehmber Hussainpuri'],0.726,0.994,5.0,-2.433,0.0,0.0543,0.021,0.0108,0.222,0.779,129.989,audio_features,1tEto4JrqNmBZFH5uAiYqb,spotify:track:1tEto4JrqNmBZFH5uAiYqb,https://api.spotify.com/v1/tracks/1tEto4JrqNmBZFH5uAiYqb,https://api.spotify.com/v1/audio-analysis/1tEto4JrqNmBZFH5uAiYqb,264900.0,4.0,happy
Char Baj Gaye - Party Abhi Baaki Hai,55,2019-04-10 05:08:05+00:00,2011,"['Sachin-Jigar', 'Hard Kaur']",0.95,0.694,10.0,-7.089,0.0,0.0516,0.0317,1.93e-06,0.137,0.961,119.972,audio_features,1eFH9kh7L63Zb8FDqjbwZJ,spotify:track:1eFH9kh7L63Zb8FDqjbwZJ,https://api.spotify.com/v1/tracks/1eFH9kh7L63Zb8FDqjbwZJ,https://api.spotify.com/v1/audio-analysis/1eFH9kh7L63Zb8FDqjbwZJ,213880.0,4.0,happy
Na Na Na Na,52,2019-04-10 05:09:28+00:00,2015,['J Star'],0.905,0.863,3.0,-3.76,1.0,0.0413,0.376,1.44e-05,0.0916,0.807,95.0,audio_features,5GjxbFTZAMhrVfVrNrrwrG,spotify:track:5GjxbFTZAMhrVfVrNrrwrG,https://api.spotify.com/v1/tracks/5GjxbFTZAMhrVfVrNrrwrG,https://api.spotify.com/v1/audio-analysis/5GjxbFTZAMhrVfVrNrrwrG,209730.0,4.0,happy
OH HO HO HO (Original Song),53,2019-04-10 05:09:34+00:00,1999,['Sukhbir'],0.733,0.963,10.0,-5.06,1.0,0.0665,0.0558,1.32e-05,0.0766,0.91,145.05,audio_features,3NpNTYETMcXspfs8hE8T7h,spotify:track:3NpNTYETMcXspfs8hE8T7h,https://api.spotify.com/v1/tracks/3NpNTYETMcXspfs8hE8T7h,https://api.spotify.com/v1/audio-analysis/3NpNTYETMcXspfs8hE8T7h,367818.0,4.0,happy
Let The Music Play - Original Vocal Mix,47,2019-04-10 05:09:46+00:00,2008,['Shamur'],0.93,0.531,4.0,-6.122,0.0,0.0971,0.0141,0.0,0.0529,0.797,113.988,audio_features,5YRmAigOIXQRUcT5hPCLLB,spotify:track:5YRmAigOIXQRUcT5hPCLLB,https://api.spotify.com/v1/tracks/5YRmAigOIXQRUcT5hPCLLB,https://api.spotify.com/v1/audio-analysis/5YRmAigOIXQRUcT5hPCLLB,221054.0,4.0,happy
Daru Badnaam,64,2019-04-10 05:10:14+00:00,2016,"['Param Singh', 'Kamal Kahlon', 'Pratik Studio']",0.541,0.676,8.0,-3.893,0.0,0.153,0.442,0.0,0.159,0.845,90.037,audio_features,2TzyJEUfWHGRsk3r6Emvbk,spotify:track:2TzyJEUfWHGRsk3r6Emvbk,https://api.spotify.com/v1/tracks/2TzyJEUfWHGRsk3r6Emvbk,https://api.spotify.com/v1/audio-analysis/2TzyJEUfWHGRsk3r6Emvbk,185333.0,4.0,happy
Coca Cola Tu,39,2019-04-10 05:10:59+00:00,2018,"['Tony Kakkar', 'Young Desi']",0.838,0.713,0.0,-4.21,0.0,0.0877,0.464,6.64e-05,0.141,0.95,96.988,audio_features,10KNL7VQECMVOWA3HGxBQY,spotify:track:10KNL7VQECMVOWA3HGxBQY,https://api.spotify.com/v1/tracks/10KNL7VQECMVOWA3HGxBQY,https://api.spotify.com/v1/audio-analysis/10KNL7VQECMVOWA3HGxBQY,191999.0,4.0,happy
